Oprice,Oprod,Gprice,Gprod,Oreserve,Wrate
27.01,19.69732063,2.28,8.039052,699,3.76
13.53,20.55884838,1.76,8.509172,700,3.24
17.73,20.67727435,1.7,8.75854,889,3.58
14.24,21.42435208,1.89,9.195956,907,4.48
17.31,21.82766868,1.92,9.224572,1002,3.57
22.26,22.08131375,2.04,9.49438,1027.5,2.83
18.62,21.94658422,2,9.847992,991,1.22
18.44,21.93748769,2.07,9.911356,997,1.68
16.33,21.9631248,2.15,10.346728,1000,1.62
15.53,22.32831624,1.88,10.988544,1000,3.04
16.86,22.7882914,1.84,11.391212,1126.2,3.01
20.29,23.2936527,3.26,11.66102,1020,3.33
18.86,24.01917335,2.28,11.945136,1021,3.74
12.28,26.44452,1.95,80.09366379,1034,2.44
17.44,26.02548,2.24,82.22313818,1018,3.3
27.6,26.973,5.77,85.32376591,1030,4.33
23.12,27.05436,3.42,87.69338003,1033,1.92
24.36,26.96436,3.96,89.43086163,1214,2.17
28.1,27.918,4.76,92.66215362,1266,2.92
36.05,29.13768,6.01,95.74865548,1366.2,4.46
50.59,29.48256,9.08,98.55970294,1374.4,3.82
61,29.70684,6.76,101.5897013,1383.7,4.38
69.04,29.6388,6.87,103.8710288,1427.1,4.29
94.1,29.90484,5.94,106.9963768,1490,1.84
60.86,29.36808,4.66,103.6450149,1531.8,-1.69
77.38,29.98548,4.68,111.2694514,1636.6,4.33
107.46,30.258,3.14,115.0551837,1675.3,3.09
109.45,31.03488,3.35,117.4848328,1697.9,2.45
105.87,31.17024,3.49,118.8726991,1701,2.56
96.29,31.94676,3.68,121.4082922,1700,2.57
49.49,33.02532,2.43,124.0145146,1697.6,3.1
40.76,33.13908,2.14,125.4412271,1697.1,2.8
52.51,33.31656,2.41,129.8237773,1727.5,3.4
69.78,34.15464,2.74,136.0638788,1735.9,3.3
64.04,34.16976,2.64,140.4181772,1733.9,2.7
41.47,31.85784,2.17,136.367585,1732.4,-3.1
69.72,32.35572,3.05,142.5617775,1724.5,5.9
102.97,33.2496,3.36,187.2736768,1757,4.1
